2023:11:07 - 01:00:50 | [ WARNING    ]   ITEM [ AVAILABILITY - LOW ]
2023:11:07 - 01:06:14 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:06:14 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:06:14 | [    INFO    ] PRODUCER [ AMOUNT - 4 ]
2023:11:07 - 01:06:14 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:06:14 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:06:14 | [    INFO    ] PRODUCER [ AMOUNT - 5 ]
2023:11:07 - 01:06:14 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:06:14 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:06:14 | [    INFO    ] PRODUCER [ AMOUNT - 6 ]
2023:11:07 - 01:06:15 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:06:15 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:06:15 | [    INFO    ] PRODUCER [ AMOUNT - 7 ]
2023:11:07 - 01:06:15 | [     ADD    ] PRODUCER [ INTERVAL - 10000 ]
2023:11:07 - 01:06:15 | [     ADD    ] PRODUCER [ INTERVAL - 10000 ]
2023:11:07 - 01:06:15 | [    INFO    ] PRODUCER [ AMOUNT - 8 ]
2023:11:07 - 01:06:15 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:06:15 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:06:15 | [    INFO    ] PRODUCER [ AMOUNT - 9 ]
2023:11:07 - 01:06:30 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:06:30 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:06:30 | [    INFO    ] PRODUCER [ AMOUNT - 1 ]
2023:11:07 - 01:06:30 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:06:30 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:06:31 | [    INFO    ] PRODUCER [ AMOUNT - 2 ]
2023:11:07 - 01:06:31 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:06:31 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:06:31 | [    INFO    ] PRODUCER [ AMOUNT - 3 ]
2023:11:07 - 01:06:31 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:06:31 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:06:31 | [    INFO    ] PRODUCER [ AMOUNT - 4 ]
2023:11:07 - 01:07:20 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:07:20 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:07:20 | [    INFO    ] PRODUCER [ AMOUNT - 1 ]
2023:11:07 - 01:07:20 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:07:20 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:07:20 | [    INFO    ] PRODUCER [ AMOUNT - 2 ]
2023:11:07 - 01:07:21 | [     ADD    ] PRODUCER [ INTERVAL - 5000 ]
2023:11:07 - 01:07:21 | [     ADD    ] PRODUCER [ INTERVAL - 5000 ]
2023:11:07 - 01:07:21 | [    INFO    ] PRODUCER [ AMOUNT - 3 ]
2023:11:07 - 01:07:21 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:07:21 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:07:21 | [    INFO    ] PRODUCER [ AMOUNT - 4 ]
2023:11:07 - 01:07:21 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:07:21 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:07:21 | [    INFO    ] PRODUCER [ AMOUNT - 5 ]
2023:11:07 - 01:07:21 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:07:21 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:07:21 | [    INFO    ] PRODUCER [ AMOUNT - 6 ]
2023:11:07 - 01:07:21 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:07:21 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:07:21 | [    INFO    ] PRODUCER [ AMOUNT - 7 ]
2023:11:07 - 01:07:22 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:07:22 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:07:22 | [    INFO    ] PRODUCER [ AMOUNT - 8 ]
2023:11:07 - 01:07:41 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:07:41 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:07:41 | [    INFO    ] PRODUCER [ AMOUNT - 1 ]
2023:11:07 - 01:07:41 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:07:41 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:07:41 | [    INFO    ] PRODUCER [ AMOUNT - 2 ]
2023:11:07 - 01:07:41 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:07:41 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:07:41 | [    INFO    ] PRODUCER [ AMOUNT - 3 ]
2023:11:07 - 01:07:41 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:07:41 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:07:41 | [    INFO    ] PRODUCER [ AMOUNT - 4 ]
2023:11:07 - 01:07:42 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:07:42 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:07:42 | [    INFO    ] PRODUCER [ AMOUNT - 5 ]
2023:11:07 - 01:07:42 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:07:42 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:07:42 | [    INFO    ] PRODUCER [ AMOUNT - 6 ]
2023:11:07 - 01:07:42 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:07:42 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:07:42 | [    INFO    ] PRODUCER [ AMOUNT - 7 ]
2023:11:07 - 01:07:42 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:07:42 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:07:42 | [    INFO    ] PRODUCER [ AMOUNT - 8 ]
2023:11:07 - 01:07:49 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - -75% ]
2023:11:07 - 01:08:24 | [ WARNING    ]   ITEM [ AVAILABILITY - LOW ]
2023:11:07 - 01:08:27 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:08:27 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:08:27 | [    INFO    ] PRODUCER [ AMOUNT - 1 ]
2023:11:07 - 01:08:27 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:08:27 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:08:27 | [    INFO    ] PRODUCER [ AMOUNT - 2 ]
2023:11:07 - 01:08:27 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:08:27 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:08:27 | [    INFO    ] PRODUCER [ AMOUNT - 3 ]
2023:11:07 - 01:08:27 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:08:27 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:08:27 | [    INFO    ] PRODUCER [ AMOUNT - 4 ]
2023:11:07 - 01:08:27 | [     ADD    ] PRODUCER [ INTERVAL - 10000 ]
2023:11:07 - 01:08:27 | [     ADD    ] PRODUCER [ INTERVAL - 10000 ]
2023:11:07 - 01:08:27 | [    INFO    ] PRODUCER [ AMOUNT - 5 ]
2023:11:07 - 01:08:28 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:08:28 | [     ADD    ] PRODUCER [ INTERVAL - 4000 ]
2023:11:07 - 01:08:28 | [    INFO    ] PRODUCER [ AMOUNT - 6 ]
2023:11:07 - 01:08:28 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:08:28 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:08:28 | [    INFO    ] PRODUCER [ AMOUNT - 7 ]
2023:11:07 - 01:08:33 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - -69% ]
2023:11:07 - 01:08:52 | [ WARNING    ]   ITEM [ AVAILABILITY - LOW ]
2023:11:07 - 01:09:01 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - 1% ]
2023:11:07 - 01:09:11 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - 1% ]
2023:11:07 - 01:09:21 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - 1% ]
2023:11:07 - 01:09:37 | [ WARNING    ]   ITEM [ AVAILABILITY - LOW ]
2023:11:07 - 01:09:39 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:09:39 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:09:39 | [    INFO    ] PRODUCER [ AMOUNT - 1 ]
2023:11:07 - 01:09:39 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:09:39 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:09:39 | [    INFO    ] PRODUCER [ AMOUNT - 2 ]
2023:11:07 - 01:09:40 | [     ADD    ] PRODUCER [ INTERVAL - 10000 ]
2023:11:07 - 01:09:40 | [     ADD    ] PRODUCER [ INTERVAL - 10000 ]
2023:11:07 - 01:09:40 | [    INFO    ] PRODUCER [ AMOUNT - 3 ]
2023:11:07 - 01:09:40 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:09:40 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:09:40 | [    INFO    ] PRODUCER [ AMOUNT - 4 ]
2023:11:07 - 01:09:40 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:09:40 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:09:40 | [    INFO    ] PRODUCER [ AMOUNT - 5 ]
2023:11:07 - 01:09:40 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:09:40 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:09:40 | [    INFO    ] PRODUCER [ AMOUNT - 6 ]
2023:11:07 - 01:09:40 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:09:40 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:09:40 | [    INFO    ] PRODUCER [ AMOUNT - 7 ]
2023:11:07 - 01:09:40 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:09:40 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:09:40 | [    INFO    ] PRODUCER [ AMOUNT - 8 ]
2023:11:07 - 01:09:41 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:09:41 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:09:41 | [    INFO    ] PRODUCER [ AMOUNT - 9 ]
2023:11:07 - 01:09:46 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - -79% ]
2023:11:07 - 01:10:14 | [ WARNING    ]   ITEM [ AVAILABILITY - LOW ]
2023:11:07 - 01:10:15 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:10:15 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:10:15 | [    INFO    ] PRODUCER [ AMOUNT - 1 ]
2023:11:07 - 01:10:15 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:10:15 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:10:15 | [    INFO    ] PRODUCER [ AMOUNT - 2 ]
2023:11:07 - 01:10:15 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:10:15 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:10:15 | [    INFO    ] PRODUCER [ AMOUNT - 3 ]
2023:11:07 - 01:10:15 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:10:15 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:10:15 | [    INFO    ] PRODUCER [ AMOUNT - 4 ]
2023:11:07 - 01:10:15 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:10:15 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:10:15 | [    INFO    ] PRODUCER [ AMOUNT - 5 ]
2023:11:07 - 01:10:16 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:10:16 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
2023:11:07 - 01:10:16 | [    INFO    ] PRODUCER [ AMOUNT - 6 ]
2023:11:07 - 01:10:16 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:10:16 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:10:16 | [    INFO    ] PRODUCER [ AMOUNT - 7 ]
2023:11:07 - 01:10:55 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:10:55 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:10:55 | [    INFO    ] PRODUCER [ AMOUNT - 1 ]
2023:11:07 - 01:10:55 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:10:55 | [     ADD    ] PRODUCER [ INTERVAL - 6000 ]
2023:11:07 - 01:10:55 | [    INFO    ] PRODUCER [ AMOUNT - 2 ]
2023:11:07 - 01:10:56 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:10:56 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:10:56 | [    INFO    ] PRODUCER [ AMOUNT - 3 ]
2023:11:07 - 01:10:56 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:10:56 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:10:56 | [    INFO    ] PRODUCER [ AMOUNT - 4 ]
2023:11:07 - 01:10:56 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:10:56 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:10:56 | [    INFO    ] PRODUCER [ AMOUNT - 5 ]
2023:11:07 - 01:10:56 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:10:56 | [     ADD    ] PRODUCER [ INTERVAL - 3000 ]
2023:11:07 - 01:10:56 | [    INFO    ] PRODUCER [ AMOUNT - 6 ]
2023:11:07 - 01:10:56 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:10:56 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:10:56 | [    INFO    ] PRODUCER [ AMOUNT - 7 ]
2023:11:07 - 01:10:57 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - 0% ]
2023:11:07 - 01:11:07 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - 53% ]
2023:11:07 - 01:11:17 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:11:17 | [     ADD    ] PRODUCER [ INTERVAL - 1000 ]
2023:11:07 - 01:11:17 | [    INFO    ] PRODUCER [ AMOUNT - 8 ]
2023:11:07 - 01:11:17 | [    INFO    ]   ITEM [ CONSUMPTION_RATE - 59% ]
2023:11:07 - 01:11:17 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:11:17 | [     ADD    ] PRODUCER [ INTERVAL - 7000 ]
2023:11:07 - 01:11:17 | [    INFO    ] PRODUCER [ AMOUNT - 9 ]
2023:11:07 - 01:11:17 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:11:17 | [     ADD    ] PRODUCER [ INTERVAL - 2000 ]
2023:11:07 - 01:11:17 | [    INFO    ] PRODUCER [ AMOUNT - 10 ]
2023:11:07 - 01:11:17 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:11:17 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:11:17 | [    INFO    ] PRODUCER [ AMOUNT - 11 ]
2023:11:07 - 01:11:18 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:11:18 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:11:18 | [    INFO    ] PRODUCER [ AMOUNT - 12 ]
2023:11:07 - 01:11:18 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:11:18 | [     ADD    ] PRODUCER [ INTERVAL - 8000 ]
2023:11:07 - 01:11:18 | [    INFO    ] PRODUCER [ AMOUNT - 13 ]
2023:11:07 - 01:11:18 | [     ADD    ] PRODUCER [ INTERVAL - 9000 ]
